id,policy_type,accident_type,claim_severity_level,vehicle_category,area_type,vehicle_damage_score,accident_impact_score,repair_risk_index,injury_severity_prob,overall_claim_risk,agent_name,policy_number,claim_date,random_noise,claim_description,claim_amount
10017,A,Collision,Medium,Sedan,Urban,0.421,0.733,0.519,0.596,0.53,Neha,PN61516,2022-01-17,0.618,Moderate collision causing body and light damage,41601
10018,B,Theft,Medium,Sedan,Rural,0.703,0.231,0.546,0.245,0.457,Amit,PN25072,2022-01-18,0.575,Moderate theft causing body and light damage,29938
10019,B,Theft,Medium,Sedan,Rural,0.607,0.812,0.69,0.332,0.53,Anjali,PN81052,2022-01-19,0.394,Moderate theft causing body and light damage,37264
10020,A,Collision,Medium,Sedan,Urban,0.206,0.672,0.446,0.494,0.417,Amit,PN29689,2022-01-20,0.307,Moderate collision causing body and light damage,34085
10021,B,Fire,Medium,Sedan,Urban,0.731,0.366,0.546,0.319,0.492,Rahul,PN28599,2022-01-21,0.407,Moderate fire causing body and light damage,52969
10022,A,Collision,Medium,Sedan,Urban,0.762,0.515,0.605,0.378,0.546,Ramesh,PN92045,2022-01-22,0.574,Moderate collision causing body and light damage,43827
10023,A,Collision,Medium,SUV,Urban,0.401,0.95,0.725,0.594,0.608,Suresh,PN45388,2022-01-23,0.428,Moderate collision causing body and light damage,47488
10024,A,Fire,Medium,SUV,Rural,0.684,0.733,0.715,0.19,0.499,Kunal,PN60603,2022-01-24,0.264,Moderate fire causing body and light damage,52515
10025,B,Collision,Low,Sedan,Urban,0.429,0.552,0.467,0.04,0.288,Kunal,PN84736,2022-01-25,0.761,Minor collision with small damage,37422
10026,C,Theft,Medium,Truck,Urban,0.62,0.491,0.49,0.305,0.442,Anjali,PN35789,2022-01-26,0.531,Moderate theft causing body and light damage,41830
10027,A,Collision,Medium,Sedan,Urban,0.347,0.569,0.413,0.323,0.364,Neha,PN87432,2022-01-27,0.068,Moderate collision causing body and light damage,31147
10028,B,Collision,Medium,Truck,Rural,0.241,0.422,0.25,0.522,0.357,Priya,PN97467,2022-01-28,0.368,Moderate collision causing body and light damage,30238
10029,B,Fire,Medium,Sedan,Rural,0.523,0.024,0.274,0.459,0.398,Kunal,PN98623,2022-01-29,0.885,Moderate fire causing body and light damage,36051
10030,A,Collision,Medium,Truck,Urban,0.575,1.0,0.728,0.249,0.506,Amit,PN99289,2022-01-30,0.755,Moderate collision causing body and light damage,48118
10031,B,Fire,Medium,SUV,Rural,0.52,0.589,0.541,0.18,0.393,Suresh,PN62282,2022-01-31,0.323,Moderate fire causing body and light damage,48120
10032,A,Collision,Medium,Truck,Urban,0.363,0.65,0.575,0.516,0.509,Ramesh,PN43464,2022-02-01,0.938,Moderate collision causing body and light damage,38994
10033,A,Collision,Medium,Truck,Urban,0.52,0.536,0.588,0.074,0.369,Suresh,PN77806,2022-02-02,0.077,Moderate collision causing body and light damage,33702
10034,C,Collision,Medium,Sedan,Urban,0.654,0.366,0.508,0.266,0.441,Neha,PN51994,2022-02-03,0.961,Moderate collision causing body and light damage,45728
10035,C,Theft,Medium,Truck,Urban,0.591,0.504,0.543,0.144,0.393,Anjali,PN91596,2022-02-04,0.246,Moderate theft causing body and light damage,41872
10036,C,Collision,Medium,Sedan,Urban,0.637,0.15,0.487,0.228,0.414,Suresh,PN35594,2022-02-05,0.009,Moderate collision causing body and light damage,39501
10037,A,Fire,Medium,Sedan,Rural,0.466,1.0,0.759,0.119,0.444,Neha,PN62563,2022-02-06,0.434,Moderate fire causing body and light damage,51291
10038,A,Collision,Medium,Sedan,Urban,0.834,0.241,0.521,0.152,0.436,Rahul,PN90352,2022-02-07,0.359,Moderate collision causing body and light damage,36791
10039,B,Fire,Low,SUV,Urban,0.365,0.292,0.257,0.184,0.25,Amit,PN96840,2022-02-08,0.539,Minor fire with small damage,33903
10040,B,Collision,Medium,Sedan,Urban,0.698,0.44,0.588,0.578,0.606,Amit,PN38386,2022-02-09,0.797,Moderate collision causing body and light damage,47623
10041,A,Fire,Medium,SUV,Urban,0.836,0.872,0.896,0.277,0.636,Neha,PN76652,2022-02-10,0.842,Moderate fire causing body and light damage,67862
10042,B,Theft,Medium,SUV,Rural,0.696,0.554,0.593,0.255,0.478,Priya,PN27540,2022-02-11,0.401,Moderate theft causing body and light damage,34661
10043,A,Theft,Medium,SUV,Urban,0.559,0.241,0.415,0.278,0.389,Amit,PN43756,2022-02-12,0.43,Moderate theft causing body and light damage,25059
10044,C,Theft,Medium,Truck,Urban,0.494,0.864,0.661,0.603,0.605,Anjali,PN53426,2022-02-13,0.148,Moderate theft causing body and light damage,51892
10045,A,Theft,Medium,Sedan,Rural,0.807,0.733,0.761,0.175,0.536,Priya,PN15587,2022-02-14,0.048,Moderate theft causing body and light damage,38236
10046,B,Theft,Medium,Sedan,Urban,0.315,0.685,0.376,0.563,0.439,Neha,PN93748,2022-02-15,0.641,Moderate theft causing body and light damage,35151
10047,A,Collision,Medium,Sedan,Urban,0.406,0.729,0.556,0.578,0.535,Rahul,PN91339,2022-02-16,0.064,Moderate collision causing body and light damage,40892
10048,B,Collision,Medium,Sedan,Urban,0.52,1.0,0.809,0.619,0.675,Neha,PN99792,2022-02-17,0.734,Moderate collision causing body and light damage,57268
10049,B,Fire,Medium,Sedan,Urban,0.848,1.0,0.892,0.152,0.587,Rahul,PN59039,2022-02-18,0.539,Moderate fire causing body and light damage,75685
10050,A,Theft,Medium,Sedan,Rural,0.676,0.378,0.53,0.119,0.395,Kunal,PN20269,2022-02-19,0.199,Moderate theft causing body and light damage,29397
10051,C,Theft,Medium,Sedan,Rural,0.406,0.956,0.643,0.298,0.458,Amit,PN16088,2022-02-20,0.54,Moderate theft causing body and light damage,43577
10052,C,Collision,Medium,Truck,Urban,0.538,0.646,0.61,0.51,0.556,Anjali,PN52044,2022-02-21,0.183,Moderate collision causing body and light damage,56014
10053,C,Collision,Medium,SUV,Rural,0.477,0.675,0.565,0.19,0.398,Priya,PN37081,2022-02-22,0.439,Moderate collision causing body and light damage,45088
10054,C,Collision,Low,Sedan,Urban,0.458,0.127,0.246,0.076,0.22,Anjali,PN71388,2022-02-23,0.8,Minor collision with small damage,29445
10055,B,Theft,Medium,SUV,Urban,0.796,0.507,0.718,0.408,0.61,Neha,PN20543,2022-02-24,0.462,Moderate theft causing body and light damage,44047
10056,C,Collision,Low,Sedan,Urban,0.326,0.347,0.383,0.195,0.296,Kunal,PN13005,2022-02-25,0.149,Minor collision with small damage,35876
10057,A,Collision,High,Sedan,Urban,0.922,0.757,0.809,0.54,0.724,Amit,PN47203,2022-02-26,0.724,Severe collision with major damage and possible injuries,54732
10058,A,Collision,High,SUV,Urban,0.766,0.818,0.817,0.648,0.739,Anjali,PN26220,2022-02-27,0.187,Severe collision with major damage and possible injuries,53263
10059,A,Collision,Medium,SUV,Urban,0.818,0.031,0.452,0.207,0.427,Kunal,PN42696,2022-02-28,0.739,Moderate collision causing body and light damage,33676
10060,A,Collision,Medium,Sedan,Rural,0.507,0.544,0.558,0.255,0.427,Rahul,PN89683,2022-03-01,0.479,Moderate collision causing body and light damage,35272
10061,A,Collision,Medium,Truck,Urban,0.57,0.83,0.616,0.298,0.479,Neha,PN56381,2022-03-02,0.454,Moderate collision causing body and light damage,42694
10062,A,Theft,Medium,Truck,Urban,0.313,0.503,0.459,0.508,0.449,Kunal,PN57984,2022-03-03,0.851,Moderate theft causing body and light damage,30273
10063,C,Collision,Medium,SUV,Urban,0.495,0.732,0.585,0.292,0.45,Anjali,PN10076,2022-03-04,0.709,Moderate collision causing body and light damage,54057
10064,A,Collision,Medium,SUV,Urban,0.699,0.638,0.65,0.74,0.696,Kunal,PN28946,2022-03-05,0.033,Moderate collision causing body and light damage,49166
10065,A,Collision,Medium,SUV,Urban,0.859,0.635,0.879,0.203,0.605,Rahul,PN93492,2022-03-06,0.296,Moderate collision causing body and light damage,49122
10066,B,Collision,Medium,Sedan,Urban,0.379,0.482,0.445,0.498,0.453,Suresh,PN33471,2022-03-07,0.871,Moderate collision causing body and light damage,38932
10067,A,Collision,Medium,Sedan,Rural,0.527,0.246,0.367,0.698,0.531,Anjali,PN71531,2022-03-08,0.018,Moderate collision causing body and light damage,30879
10068,C,Collision,Medium,Sedan,Urban,0.57,0.27,0.309,0.449,0.417,Rahul,PN48738,2022-03-09,0.545,Moderate collision causing body and light damage,40162
10069,A,Theft,Medium,SUV,Urban,0.321,0.727,0.594,0.224,0.391,Suresh,PN50720,2022-03-10,0.728,Moderate theft causing body and light damage,32047
10070,C,Collision,Medium,SUV,Urban,0.718,0.555,0.569,0.057,0.394,Amit,PN34440,2022-03-11,0.622,Moderate collision causing body and light damage,47964
10071,C,Theft,Medium,Sedan,Urban,0.455,0.515,0.435,0.633,0.518,Neha,PN21862,2022-03-12,0.761,Moderate theft causing body and light damage,39548
10072,A,Fire,Medium,Truck,Urban,0.561,0.444,0.486,0.347,0.445,Kunal,PN78273,2022-03-13,0.726,Moderate fire causing body and light damage,45665
10073,A,Theft,Medium,Truck,Rural,0.51,0.474,0.562,0.31,0.451,Amit,PN31788,2022-03-14,0.692,Moderate theft causing body and light damage,28494
10074,C,Collision,High,SUV,Urban,0.442,0.812,0.666,0.904,0.716,Ramesh,PN35522,2022-03-15,0.822,Severe collision with major damage and possible injuries,63555
10075,B,Collision,Medium,SUV,Urban,0.599,0.466,0.524,0.588,0.565,Rahul,PN80185,2022-03-16,0.646,Moderate collision causing body and light damage,47724
10076,B,Collision,Medium,Truck,Urban,0.557,0.215,0.401,0.446,0.45,Amit,PN79404,2022-03-17,0.402,Moderate collision causing body and light damage,36477
10077,C,Collision,Medium,Sedan,Urban,0.526,0.736,0.601,0.39,0.501,Amit,PN62289,2022-03-18,0.472,Moderate collision causing body and light damage,55289
10078,A,Fire,Medium,SUV,Urban,0.454,0.499,0.484,0.49,0.48,Kunal,PN17824,2022-03-19,0.717,Moderate fire causing body and light damage,45151
10079,A,Collision,Medium,Sedan,Rural,0.664,0.558,0.615,0.279,0.49,Suresh,PN17799,2022-03-20,0.876,Moderate collision causing body and light damage,38502
10080,A,Collision,Medium,SUV,Urban,0.931,0.952,0.99,0.151,0.643,Rahul,PN95406,2022-03-21,0.272,Moderate collision causing body and light damage,56675
10081,C,Theft,Medium,Sedan,Rural,0.628,0.545,0.635,0.618,0.627,Suresh,PN55147,2022-03-22,0.342,Moderate theft causing body and light damage,44277
10082,B,Theft,Medium,Truck,Urban,0.799,0.622,0.735,0.421,0.623,Neha,PN92922,2022-03-23,0.931,Moderate theft causing body and light damage,45820
10083,A,Collision,Low,Truck,Rural,0.322,0.255,0.27,0.209,0.256,Amit,PN18614,2022-03-24,0.579,Minor collision with small damage,23081
10084,A,Collision,Medium,Sedan,Urban,0.632,0.495,0.6,0.478,0.558,Rahul,PN35147,2022-03-25,0.179,Moderate collision causing body and light damage,40522
10085,A,Collision,Low,SUV,Urban,0.381,0.702,0.537,0.11,0.335,Amit,PN86637,2022-03-26,0.664,Minor collision with small damage,32646
10086,A,Collision,Medium,Truck,Urban,0.305,0.161,0.179,0.636,0.387,Neha,PN30914,2022-03-27,0.991,Moderate collision causing body and light damage,25360
10087,B,Collision,Medium,SUV,Rural,0.452,0.6,0.506,0.673,0.562,Priya,PN73699,2022-03-28,0.823,Moderate collision causing body and light damage,41735
10088,B,Collision,Medium,Truck,Urban,0.838,0.575,0.711,0.443,0.629,Neha,PN19615,2022-03-29,0.746,Moderate collision causing body and light damage,53997
10089,C,Collision,Medium,SUV,Urban,0.79,0.56,0.721,0.192,0.523,Suresh,PN60785,2022-03-30,0.208,Moderate collision causing body and light damage,58642
10090,B,Collision,Medium,Sedan,Urban,0.649,0.809,0.72,0.171,0.486,Suresh,PN98589,2022-03-31,0.876,Moderate collision causing body and light damage,51196
10091,A,Collision,Medium,Sedan,Rural,0.293,0.634,0.403,0.562,0.445,Anjali,PN67811,2022-04-01,0.526,Moderate collision causing body and light damage,31466
10092,B,Collision,Medium,Sedan,Urban,0.561,0.92,0.743,0.607,0.652,Amit,PN89017,2022-04-02,0.889,Moderate collision causing body and light damage,53938
10093,C,Collision,Medium,SUV,Rural,0.66,0.302,0.487,0.835,0.661,Suresh,PN56898,2022-04-03,0.33,Moderate collision causing body and light damage,47968
10094,B,Theft,Medium,Sedan,Urban,0.635,0.584,0.619,0.427,0.545,Rahul,PN65505,2022-04-04,0.062,Moderate theft causing body and light damage,42012
10095,C,Theft,Low,SUV,Urban,0.231,0.571,0.447,0.31,0.349,Neha,PN86031,2022-04-05,0.476,Minor theft with small damage,33798
10096,B,Collision,Medium,SUV,Urban,0.422,0.283,0.403,0.378,0.397,Amit,PN10146,2022-04-06,0.27,Moderate collision causing body and light damage,34092
10097,B,Collision,Medium,SUV,Rural,0.587,0.789,0.658,0.308,0.504,Neha,PN50275,2022-04-07,0.715,Moderate collision causing body and light damage,45414
10098,B,Collision,Medium,Truck,Urban,0.707,1.0,0.823,0.169,0.538,Neha,PN25977,2022-04-08,0.957,Moderate collision causing body and light damage,55711
10099,A,Theft,Medium,Truck,Rural,0.161,0.546,0.301,0.498,0.352,Amit,PN51565,2022-04-09,0.691,Moderate theft causing body and light damage,23336
10100,A,Theft,Medium,Sedan,Urban,0.568,0.676,0.657,0.392,0.533,Kunal,PN43945,2022-04-10,0.887,Moderate theft causing body and light damage,39072
10101,A,Collision,Medium,Truck,Urban,0.629,0.571,0.672,0.556,0.617,Priya,PN12594,2022-04-11,0.453,Moderate collision causing body and light damage,45150
10102,B,Fire,Medium,SUV,Urban,0.77,0.372,0.555,0.321,0.504,Anjali,PN86610,2022-04-12,0.772,Moderate fire causing body and light damage,54275
10103,A,Collision,Medium,SUV,Urban,0.739,0.095,0.405,0.291,0.426,Kunal,PN67655,2022-04-13,0.843,Moderate collision causing body and light damage,32333
10104,B,Collision,Medium,Truck,Rural,0.717,0.374,0.618,0.623,0.64,Suresh,PN37431,2022-04-14,0.711,Moderate collision causing body and light damage,41360
10105,C,Theft,Medium,Sedan,Rural,0.44,0.202,0.346,0.327,0.357,Ramesh,PN92684,2022-04-15,0.508,Moderate theft causing body and light damage,28077
10106,A,Fire,Medium,Sedan,Rural,0.218,0.976,0.619,0.242,0.388,Anjali,PN98197,2022-04-16,0.626,Moderate fire causing body and light damage,45281
10107,B,Theft,Medium,Truck,Rural,0.521,0.521,0.462,0.528,0.5,Kunal,PN37571,2022-04-17,0.701,Moderate theft causing body and light damage,34936
10108,C,Theft,Medium,Sedan,Urban,0.8,0.464,0.666,0.404,0.588,Ramesh,PN75971,2022-04-18,0.253,Moderate theft causing body and light damage,48545
10109,A,Collision,High,Truck,Urban,0.879,0.772,0.779,0.716,0.774,Ramesh,PN71797,2022-04-19,0.81,Severe collision with major damage and possible injuries,56786
10110,A,Theft,Medium,Truck,Rural,0.742,0.27,0.449,0.53,0.54,Suresh,PN53937,2022-04-20,0.95,Moderate theft causing body and light damage,28573
10111,A,Collision,Medium,Sedan,Urban,0.686,0.358,0.505,0.307,0.462,Priya,PN69643,2022-04-21,0.465,Moderate collision causing body and light damage,36894
10112,A,Fire,Medium,Truck,Rural,0.676,0.567,0.592,0.134,0.426,Neha,PN92054,2022-04-22,0.701,Moderate fire causing body and light damage,43194
10113,C,Collision,Medium,Sedan,Rural,0.489,0.807,0.637,0.36,0.496,Amit,PN96538,2022-04-23,0.737,Moderate collision causing body and light damage,49979
10114,C,Theft,Medium,SUV,Urban,0.574,0.675,0.553,0.574,0.566,Priya,PN70051,2022-04-24,0.662,Moderate theft causing body and light damage,47267
10115,B,Collision,Medium,SUV,Rural,0.934,0.612,0.821,0.336,0.649,Ramesh,PN77902,2022-04-25,0.547,Moderate collision causing body and light damage,52073
10116,C,Theft,Medium,Truck,Urban,0.411,0.57,0.547,0.483,0.494,Anjali,PN87903,2022-04-26,0.882,Moderate theft causing body and light damage,41012
10117,C,Collision,Medium,Sedan,Urban,0.923,0.65,0.689,0.506,0.663,Rahul,PN86990,2022-04-27,0.449,Moderate collision causing body and light damage,65573
10118,A,Theft,Medium,SUV,Urban,0.536,0.6,0.617,0.445,0.532,Suresh,PN85204,2022-04-28,0.061,Moderate theft causing body and light damage,35202
10119,C,Collision,Medium,SUV,Urban,0.865,0.293,0.538,0.372,0.537,Kunal,PN78951,2022-04-29,0.845,Moderate collision causing body and light damage,51746
10120,B,Collision,Medium,SUV,Urban,0.319,0.562,0.483,0.423,0.426,Anjali,PN85768,2022-04-30,0.674,Moderate collision causing body and light damage,38829
10121,C,Collision,Medium,SUV,Urban,0.717,0.282,0.496,0.252,0.442,Suresh,PN39039,2022-05-01,0.849,Moderate collision causing body and light damage,46021
10122,C,Collision,Medium,Sedan,Rural,0.453,0.57,0.513,0.379,0.447,Kunal,PN35568,2022-05-02,0.139,Moderate collision causing body and light damage,44080
10123,A,Fire,Low,Sedan,Rural,0.317,0.43,0.364,0.157,0.272,Amit,PN47459,2022-05-03,0.031,Minor fire with small damage,31185
10124,A,Collision,High,Sedan,Urban,0.644,1.0,0.882,0.715,0.768,Rahul,PN17669,2022-05-04,0.934,Severe collision with major damage and possible injuries,57051
10125,A,Fire,Medium,Truck,Urban,0.802,0.54,0.609,0.279,0.516,Neha,PN99749,2022-05-05,0.148,Moderate fire causing body and light damage,54200
10126,B,Collision,Medium,Sedan,Rural,0.431,0.199,0.345,0.647,0.483,Priya,PN93816,2022-05-06,0.81,Moderate collision causing body and light damage,30890
10127,C,Collision,Medium,Sedan,Urban,0.3,0.516,0.463,0.802,0.566,Rahul,PN94985,2022-05-07,0.823,Moderate collision causing body and light damage,47914
10128,C,Theft,Medium,Truck,Urban,0.582,0.68,0.667,0.721,0.671,Priya,PN45516,2022-05-08,0.709,Moderate theft causing body and light damage,54420
10129,A,Theft,Medium,Sedan,Urban,0.583,0.968,0.892,0.182,0.546,Priya,PN72484,2022-05-09,0.131,Moderate theft causing body and light damage,41503
10130,B,Collision,Medium,Truck,Urban,0.71,0.403,0.53,0.329,0.485,Neha,PN98612,2022-05-10,0.667,Moderate collision causing body and light damage,43085
10131,B,Collision,Medium,SUV,Urban,0.79,0.154,0.52,0.346,0.504,Neha,PN78197,2022-05-11,0.889,Moderate collision causing body and light damage,40575
10132,A,Theft,Medium,Truck,Rural,0.588,0.754,0.666,0.407,0.547,Kunal,PN33333,2022-05-12,0.426,Moderate theft causing body and light damage,34656
10133,A,Collision,High,Sedan,Urban,0.971,0.205,0.65,0.683,0.727,Neha,PN98295,2022-05-13,0.414,Severe collision with major damage and possible injuries,46604
10134,A,Fire,Medium,Sedan,Urban,0.645,0.441,0.543,0.322,0.475,Amit,PN65611,2022-05-14,0.443,Moderate fire causing body and light damage,48685
10135,C,Fire,Medium,SUV,Urban,0.531,0.486,0.489,0.387,0.456,Suresh,PN57941,2022-05-15,0.082,Moderate fire causing body and light damage,57195
10136,A,Theft,Medium,Truck,Urban,0.278,0.533,0.47,0.538,0.459,Ramesh,PN48875,2022-05-16,0.892,Moderate theft causing body and light damage,30847
10137,B,Collision,Medium,SUV,Urban,0.547,0.722,0.61,0.532,0.566,Neha,PN22698,2022-05-17,0.869,Moderate collision causing body and light damage,50403
10138,B,Theft,Medium,Sedan,Rural,0.533,0.379,0.385,0.508,0.464,Suresh,PN71826,2022-05-18,0.998,Moderate theft causing body and light damage,28443
10139,A,Collision,Medium,SUV,Rural,0.792,0.482,0.611,0.25,0.503,Kunal,PN41408,2022-05-19,0.585,Moderate collision causing body and light damage,35490
10140,C,Collision,Medium,SUV,Urban,0.692,0.546,0.65,0.167,0.466,Neha,PN98421,2022-05-20,0.751,Moderate collision causing body and light damage,51567
10141,C,Collision,Medium,SUV,Rural,0.364,0.587,0.545,0.291,0.407,Ramesh,PN88845,2022-05-21,0.203,Moderate collision causing body and light damage,40961
10142,A,Collision,Medium,SUV,Rural,0.634,0.574,0.61,0.538,0.586,Rahul,PN25133,2022-05-22,0.668,Moderate collision causing body and light damage,43020
10143,B,Fire,Medium,Truck,Rural,0.734,0.659,0.763,0.427,0.623,Anjali,PN83746,2022-05-23,0.65,Moderate fire causing body and light damage,61778
10144,A,Theft,Medium,SUV,Urban,0.906,0.761,0.765,0.403,0.649,Neha,PN46126,2022-05-24,0.901,Moderate theft causing body and light damage,42701
10145,A,Theft,Medium,Sedan,Urban,0.778,0.648,0.691,0.302,0.552,Suresh,PN43043,2022-05-25,0.831,Moderate theft causing body and light damage,38653
10146,A,Collision,High,SUV,Urban,0.752,0.663,0.693,0.771,0.736,Kunal,PN14078,2022-05-26,0.938,Severe collision with major damage and possible injuries,51537
10147,B,Collision,Medium,Sedan,Urban,0.612,0.154,0.378,0.732,0.566,Kunal,PN63906,2022-05-27,0.869,Moderate collision causing body and light damage,39856
10148,B,Collision,Medium,Sedan,Urban,0.678,0.563,0.624,0.366,0.532,Anjali,PN21137,2022-05-28,0.869,Moderate collision causing body and light damage,46216
10149,A,Fire,Medium,Sedan,Urban,0.85,0.67,0.794,0.14,0.544,Amit,PN39350,2022-05-29,0.064,Moderate fire causing body and light damage,59988
10150,A,Collision,Medium,Sedan,Rural,0.333,0.732,0.511,0.904,0.633,Kunal,PN14698,2022-05-30,0.846,Moderate collision causing body and light damage,38507
10151,C,Fire,Medium,Sedan,Rural,0.53,0.377,0.46,0.926,0.661,Rahul,PN43132,2022-05-31,0.607,Moderate fire causing body and light damage,58107
10152,A,Collision,Medium,Sedan,Rural,0.445,0.385,0.413,0.688,0.53,Kunal,PN20165,2022-06-01,0.38,Moderate collision causing body and light damage,33075
10153,A,Collision,Medium,Truck,Urban,0.676,0.406,0.495,0.318,0.46,Kunal,PN10794,2022-06-02,0.057,Moderate collision causing body and light damage,38707
10154,B,Theft,Medium,Truck,Urban,0.846,0.684,0.759,0.39,0.629,Rahul,PN23646,2022-06-03,0.678,Moderate theft causing body and light damage,48626
10155,C,Collision,Medium,Sedan,Urban,0.481,0.808,0.637,0.578,0.582,Anjali,PN98715,2022-06-04,0.328,Moderate collision causing body and light damage,59203
10156,A,Fire,Low,Truck,Urban,0.122,0.448,0.277,0.345,0.273,Anjali,PN15870,2022-06-05,0.468,Minor fire with small damage,30813
10157,B,Fire,Medium,SUV,Urban,0.518,0.777,0.649,0.461,0.547,Rahul,PN40736,2022-06-06,0.682,Moderate fire causing body and light damage,63170
10158,C,Collision,Medium,Sedan,Urban,0.783,0.581,0.686,0.173,0.5,Ramesh,PN68084,2022-06-07,0.912,Moderate collision causing body and light damage,56627
10159,A,Collision,Medium,Sedan,Urban,0.708,0.519,0.592,0.618,0.625,Suresh,PN26211,2022-06-08,0.825,Moderate collision causing body and light damage,45297
10160,B,Collision,Medium,SUV,Rural,0.686,0.497,0.655,0.549,0.619,Priya,PN96665,2022-06-09,0.451,Moderate collision causing body and light damage,44374
10161,A,Fire,Medium,SUV,Urban,0.544,0.737,0.582,0.355,0.483,Kunal,PN69538,2022-06-10,0.388,Moderate fire causing body and light damage,52245
10162,B,Collision,Low,SUV,Rural,0.344,0.631,0.452,0.146,0.308,Anjali,PN17377,2022-06-11,0.24,Minor collision with small damage,32819
10163,B,Theft,Medium,Sedan,Urban,0.703,1.0,0.991,0.275,0.647,Priya,PN18861,2022-06-12,0.372,Moderate theft causing body and light damage,55381
10164,B,Theft,Low,Sedan,Urban,0.433,0.337,0.333,0.182,0.293,Priya,PN27821,2022-06-13,0.111,Minor theft with small damage,26862
10165,A,Theft,High,Sedan,Urban,1.0,0.68,0.772,0.568,0.736,Amit,PN88488,2022-06-14,0.971,Severe theft with major damage and possible injuries,46217
10166,C,Collision,Medium,Sedan,Urban,0.714,0.418,0.603,0.363,0.529,Neha,PN84583,2022-06-15,0.574,Moderate collision causing body and light damage,51554
10167,A,Theft,Medium,Sedan,Urban,0.484,0.333,0.304,0.589,0.454,Kunal,PN36953,2022-06-16,0.128,Moderate theft causing body and light damage,27408
10168,A,Fire,Low,Sedan,Urban,0.478,0.547,0.501,0.1,0.336,Neha,PN46801,2022-06-17,0.353,Minor fire with small damage,45171
10169,A,Collision,Medium,Truck,Urban,0.581,0.584,0.69,0.583,0.625,Neha,PN28277,2022-06-18,0.547,Moderate collision causing body and light damage,44905
10170,B,Collision,Medium,Truck,Urban,0.552,1.0,0.699,0.458,0.573,Amit,PN99439,2022-06-19,0.533,Moderate collision causing body and light damage,56112
10171,B,Fire,Medium,Sedan,Urban,0.823,0.504,0.565,0.514,0.596,Priya,PN93762,2022-06-20,0.036,Moderate fire causing body and light damage,62333
10172,A,Collision,Medium,Truck,Rural,0.637,0.267,0.377,0.215,0.364,Rahul,PN32628,2022-06-21,0.951,Moderate collision causing body and light damage,29049
10173,B,Fire,Medium,Sedan,Urban,0.454,0.618,0.581,0.372,0.472,Neha,PN92246,2022-06-22,0.275,Moderate fire causing body and light damage,55442
10174,A,Collision,Medium,SUV,Rural,0.978,0.031,0.561,0.353,0.561,Anjali,PN37802,2022-06-23,0.016,Moderate collision causing body and light damage,34817
10175,B,Collision,Medium,Sedan,Urban,0.61,0.527,0.543,0.573,0.568,Rahul,PN73497,2022-06-24,0.076,Moderate collision causing body and light damage,46076
